ci_high,ci_low,group,metric,seed,value
,,DoS_GoldenEye_attempted,cov_logdet,1,-111.71528242810999
-0.05149561753496528,-0.08155244886875153,DoS_GoldenEye_attempted,silhouette_mean,1,-0.0679379852488637
,,DoS_slowloris_attempted,cov_trace,1,0.44089152531693004
,,DoS_slowloris_attempted,cov_logdet,1,-35.826510418755106
0.6029022708535194,0.5864366173744202,DoS_slowloris_attempted,silhouette_mean,1,0.5942626804113388
,,DoS_Slowhttptest_attempted,cov_trace,1,4.343528293494528
,,DoS_Slowhttptest_attempted,cov_logdet,1,-20.738500878039716
0.5047434285283089,0.4748826265335083,DoS_Slowhttptest_attempted,silhouette_mean,1,0.4886776104569435
,,Bot_attempted,cov_trace,1,0.006017307945266972
,,Bot_attempted,cov_logdet,1,-129.67489223310892
0.38537606671452523,0.3722282059490681,Bot_attempted,silhouette_mean,1,0.37791481912136077
,,WebAttack_BruteForce,cov_trace,1,1.27630516786202
,,WebAttack_BruteForce,cov_logdet,1,-21.92827342813146
0.27388905361294746,0.2422868311405182,WebAttack_BruteForce,silhouette_mean,1,0.25645353496074674
,,WebAttack_BruteForce_attempted,cov_trace,1,0.006134384387039438
,,WebAttack_BruteForce_attempted,cov_logdet,1,-70.23885712377714
0.44742179587483405,0.42671758830547335,WebAttack_BruteForce_attempted,silhouette_mean,1,0.43731746822595596
,,PortScan,cov_trace,2,0.21132663595362294
,,PortScan,cov_logdet,2,-38.79455888044037
0.5450263381004333,0.5268810451030731,PortScan,silhouette_mean,2,0.5368738263845444
,,DoS_Hulk,cov_trace,2,1.1325636959977323
,,DoS_Hulk,cov_logdet,2,-25.810612748409767
0.5524316295981407,0.5348078891634941,DoS_Hulk,silhouette_mean,2,0.5429701179265976
,,DDoS,cov_trace,2,1.6562941295345548
,,DDoS,cov_logdet,2,-24.734033390137377
0.5291920602321625,0.517858301103115,DDoS,silhouette_mean,2,0.5243926495313644
,,DoS_GoldenEye,cov_trace,2,5.6981837424705954
,,DoS_GoldenEye,cov_logdet,2,-10.76259662184518
0.30235079303383827,0.2793302595615387,DoS_GoldenEye,silhouette_mean,2,0.28890967071056367
,,DoS_slowloris,cov_trace,2,5.737634248142739
,,DoS_slowloris,cov_logdet,2,-16.821122796180852
0.30768593922257426,0.29136303886771203,DoS_slowloris,silhouette_mean,2,0.2994078904390335
,,FTP_Patator,cov_trace,2,0.00604816405726025
,,FTP_Patator,cov_logdet,2,-64.1906499242736
0.5510259002447129,0.5323933362960815,FTP_Patator,silhouette_mean,2,0.5417022675275802
,,SSH_Patator,cov_trace,2,0.05212127816248709
,,SSH_Patator,cov_logdet,2,-44.039127924854355
0.4687085792422295,0.45135425254702566,SSH_Patator,silhouette_mean,2,0.45867522060871124
,,DoS_Slowhttptest,cov_trace,2,6.014933698282228
,,DoS_Slowhttptest,cov_logdet,2,-12.90796864652741
0.3587441697716713,0.3452826522290707,DoS_Slowhttptest,silhouette_mean,2,0.3513214230537415
,,Bot,cov_trace,2,2.4183936031947972
,,Bot,cov_logdet,2,-33.41353954241047
0.3409429468214512,0.318820308893919,Bot,silhouette_mean,2,0.3303517922759056
,,Web_Attack,cov_trace,2,3.1232277436949745
,,Web_Attack,cov_logdet,2,-23.36385213383623
0.2886143632233143,0.26063922569155695,Web_Attack,silhouette_mean,2,0.2729616925120354
,,Infiltration,cov_trace,2,2173.4547770943777
,,Infiltration,cov_logdet,2,3.7006850588206435
0.864858590066433,0.8596344739198685,Infiltration,silhouette_mean,2,0.8621675252914429
,,DoS_Hulk_attempted,cov_trace,2,5.435544407651792
,,DoS_Hulk_attempted,cov_logdet,2,-19.547655723033742
0.3898883320391178,0.37053104639053347,DoS_Hulk_attempted,silhouette_mean,2,0.38042405992746353
,,DoS_GoldenEye_attempted,cov_trace,2,0.4368440396769044
,,DoS_GoldenEye_attempted,cov_logdet,2,-145.31692252553802
0.20791579596698284,0.17266233265399933,DoS_GoldenEye_attempted,silhouette_mean,2,0.19201044738292694
,,DoS_slowloris_attempted,cov_trace,2,0.27261622175015876
,,DoS_slowloris_attempted,cov_logdet,2,-48.97055141514561
0.5871483758091927,0.5713582545518875,DoS_slowloris_attempted,silhouette_mean,2,0.5801991611719132
,,DoS_Slowhttptest_attempted,cov_trace,2,4.3242217553967
,,DoS_Slowhttptest_attempted,cov_logdet,2,-29.682170586458472
0.5410968899726868,0.5110080122947693,DoS_Slowhttptest_attempted,silhouette_mean,2,0.5267245918512344
,,Bot_attempted,cov_trace,2,0.0015099335474943797
,,Bot_attempted,cov_logdet,2,-163.7307687601703
0.5830947667360306,0.5640848696231842,Bot_attempted,silhouette_mean,2,0.57495137155056
,,WebAttack_BruteForce,cov_trace,2,2.4886144317256877
,,WebAttack_BruteForce,cov_logdet,2,-27.845625223557086
0.31511263772845266,0.28674318417906763,WebAttack_BruteForce,silhouette_mean,2,0.29945541471242904
,,WebAttack_BruteForce_attempted,cov_trace,2,0.007236916465690163
,,WebAttack_BruteForce_attempted,cov_logdet,2,-74.52417290072947
0.524963104724884,0.5057591497898102,WebAttack_BruteForce_attempted,silhouette_mean,2,0.5153968513011933
,,PortScan,cov_trace,3,0.45148676814377164
,,PortScan,cov_logdet,3,-28.34235224240797
0.4150706261396408,0.3958722077310085,PortScan,silhouette_mean,3,0.4053372636437416
,,DoS_Hulk,cov_trace,3,0.6625396056334318
,,DoS_Hulk,cov_logdet,3,-22.424939005902424
0.4320902243256569,0.41020375639200213,DoS_Hulk,silhouette_mean,3,0.4216947123408318
,,DDoS,cov_trace,3,0.8764064000134997
,,DDoS,cov_logdet,3,-19.271057942691584
0.4686510697007179,0.45178086012601854,DDoS,silhouette_mean,3,0.4602695912122726
,,DoS_GoldenEye,cov_trace,3,2.5257646723549105
,,DoS_GoldenEye,cov_logdet,3,-10.92225312840311
0.3229624629020691,0.2986955791711807,DoS_GoldenEye,silhouette_mean,3,0.3099817276000977
,,DoS_slowloris,cov_trace,3,4.62740520991976
,,DoS_slowloris,cov_logdet,3,-11.349253191017208
0.33211269304156305,0.3156024247407913,DoS_slowloris,silhouette_mean,3,0.32375677973031997
,,FTP_Patator,cov_trace,3,0.007071060705730169
,,FTP_Patator,cov_logdet,3,-48.34732416140224
0.5579135030508041,0.5398927047848702,FTP_Patator,silhouette_mean,3,0.5482398718595505
,,SSH_Patator,cov_trace,3,0.06052946801460839
,,SSH_Patator,cov_logdet,3,-34.75468018211365
0.4804423347115517,0.4634528197348118,SSH_Patator,silhouette_mean,3,0.47130222618579865
,,DoS_Slowhttptest,cov_trace,3,3.96554240557734
,,DoS_Slowhttptest,cov_logdet,3,-8.832782808592734
0.3644697979092598,0.3481157854199409,DoS_Slowhttptest,silhouette_mean,3,0.35501151978969575
,,Bot,cov_trace,3,2.6982282402332016
,,Bot,cov_logdet,3,-23.728676581937478
0.21918558999896048,0.19925250709056855,Bot,silhouette_mean,3,0.20842734351754189
,,Web_Attack,cov_trace,3,3.1974397299878214
,,Web_Attack,cov_logdet,3,-18.87168331620041
0.3479331791400909,0.3205485761165619,Web_Attack,silhouette_mean,3,0.3326078712940216
,,Infiltration,cov_trace,3,2875.1100990560144
,,Infiltration,cov_logdet,3,6.194065607594147
0.876990583539009,0.8722347065806388,Infiltration,silhouette_mean,3,0.8744613021612168
,,DoS_Hulk_attempted,cov_trace,3,4.583028501170787
,,DoS_Hulk_attempted,cov_logdet,3,-13.799972274904185
0.34487327113747596,0.32351621314883233,DoS_Hulk_attempted,silhouette_mean,3,0.3335615962743759
,,DoS_GoldenEye_attempted,cov_trace,3,0.3714306546497396
,,DoS_GoldenEye_attempted,cov_logdet,3,-113.37443094097415
0.10269390102475881,0.06800050660967827,DoS_GoldenEye_attempted,silhouette_mean,3,0.08583620935678482
,,DoS_slowloris_attempted,cov_trace,3,0.3261482813688094
,,DoS_slowloris_attempted,cov_logdet,3,-36.10540473775638
0.5784404829144478,0.5632984355092049,DoS_slowloris_attempted,silhouette_mean,3,0.5714849710464478
,,DoS_Slowhttptest_attempted,cov_trace,3,3.5858712935377373
,,DoS_Slowhttptest_attempted,cov_logdet,3,-21.59174153542278
0.5188008561730385,0.4867805063724518,DoS_Slowhttptest_attempted,silhouette_mean,3,0.5021218165755272
,,Bot_attempted,cov_trace,3,0.0016901570555426047
,,Bot_attempted,cov_logdet,3,-133.21908193612575
0.5075490444898605,0.4901925601065159,Bot_attempted,silhouette_mean,3,0.4991323336958885
,,WebAttack_BruteForce,cov_trace,3,2.0867963300405603
,,WebAttack_BruteForce,cov_logdet,3,-22.39843336633817
0.36523677557706835,0.3371871329843998,WebAttack_BruteForce,silhouette_mean,3,0.34955520927906036
,,WebAttack_BruteForce_attempted,cov_trace,3,0.011002783603757608
,,WebAttack_BruteForce_attempted,cov_logdet,3,-61.94651422281259
0.5447992801666259,0.5246894210577011,WebAttack_BruteForce_attempted,silhouette_mean,3,0.5346983850002289
,,PortScan,cov_trace,4,0.2001465999801674
,,PortScan,cov_logdet,4,-27.423563883086565
0.3676227442920208,0.35254826545715334,PortScan,silhouette_mean,4,0.35875592678785323
,,DoS_Hulk,cov_trace,4,1.9270606750910013
,,DoS_Hulk,cov_logdet,4,-17.171612253283
0.5974871993064881,0.5858642339706421,DoS_Hulk,silhouette_mean,4,0.5916482388973237
,,DDoS,cov_trace,4,3.123365884616265
,,DDoS,cov_logdet,4,-16.646014382929287
0.6079477399587632,0.596663874387741,DDoS,silhouette_mean,4,0.602728146314621
,,DoS_GoldenEye,cov_trace,4,6.143582886943284
,,DoS_GoldenEye,cov_logdet,4,-8.157399571621895
0.3781899973750114,0.3561223648488522,DoS_GoldenEye,silhouette_mean,4,0.3663944065570831
,,DoS_slowloris,cov_trace,4,2.6448379546321075
,,DoS_slowloris,cov_logdet,4,-13.270168815104736
0.3147794917225838,0.2945953503251076,DoS_slowloris,silhouette_mean,4,0.30444239675998686
,,FTP_Patator,cov_trace,4,0.011449079284834143
,,FTP_Patator,cov_logdet,4,-54.6034001268159
0.47582745775580404,0.45959834605455396,FTP_Patator,silhouette_mean,4,0.4664947003126144
,,SSH_Patator,cov_trace,4,0.03826548241064706
,,SSH_Patator,cov_logdet,4,-37.534775915134695
0.47646658793091773,0.45908084958791734,SSH_Patator,silhouette_mean,4,0.4667849034070969
,,DoS_Slowhttptest,cov_trace,4,4.278206195490337
,,DoS_Slowhttptest,cov_logdet,4,-8.455061076518469
0.3313323803246021,0.31487908884882926,DoS_Slowhttptest,silhouette_mean,4,0.3221141457557678
,,Bot,cov_trace,4,1.4072964534208627
,,Bot,cov_logdet,4,-22.37062122483106
0.2492926761507988,0.22781686559319497,Bot,silhouette_mean,4,0.2374676652252674
,,Web_Attack,cov_trace,4,1.8629354735335462
,,Web_Attack,cov_logdet,4,-15.604164180342195
0.2506285846233368,0.2199391219764948,Web_Attack,silhouette_mean,4,0.2333875849843025
,,Infiltration,cov_trace,4,1980.8263397220871
,,Infiltration,cov_logdet,4,6.83082064375687
0.8516722232103348,0.8468456447124482,Infiltration,silhouette_mean,4,0.8495085448026657
,,DoS_Hulk_attempted,cov_trace,4,6.19664116194728
,,DoS_Hulk_attempted,cov_logdet,4,-11.256700174381917
0.2634697623550892,0.24560497030615808,DoS_Hulk_attempted,silhouette_mean,4,0.25429958626627924
,,DoS_GoldenEye_attempted,cov_trace,4,0.36660893338798817
,,DoS_GoldenEye_attempted,cov_logdet,4,-106.77063904230138
-0.06323815155774355,-0.09053144380450248,DoS_GoldenEye_attempted,silhouette_mean,4,-0.07794594503939152
,,DoS_slowloris_attempted,cov_trace,4,0.41937198051662167
,,DoS_slowloris_attempted,cov_logdet,4,-35.43309159779871
0.6080113396048545,0.5945445835590363,DoS_slowloris_attempted,silhouette_mean,4,0.6007414370775223
,,DoS_Slowhttptest_attempted,cov_trace,4,3.274337776061055
,,DoS_Slowhttptest_attempted,cov_logdet,4,-20.88420772506053
0.5288048759102821,0.5022603318095207,DoS_Slowhttptest_attempted,silhouette_mean,4,0.5152114033699036
,,Bot_attempted,cov_trace,4,0.00023170296145316
,,Bot_attempted,cov_logdet,4,-136.68088555549232
0.4239617057144642,0.40890603363513944,Bot_attempted,silhouette_mean,4,0.4156121641397476
,,WebAttack_BruteForce,cov_trace,4,1.1643450924913779
,,WebAttack_BruteForce,cov_logdet,4,-18.830141720117076
0.2640159234404564,0.2327118579298258,WebAttack_BruteForce,silhouette_mean,4,0.24650198817253113
,,WebAttack_BruteForce_attempted,cov_trace,4,0.007052634451879497
,,WebAttack_BruteForce_attempted,cov_logdet,4,-84.82375937493924
0.42612152844667434,0.40969943776726725,WebAttack_BruteForce_attempted,silhouette_mean,4,0.4184901714324951
,,PortScan,cov_trace,5,0.27410091748009935
,,PortScan,cov_logdet,5,-27.10524065328091
0.5167884469032288,0.4991380237042904,PortScan,silhouette_mean,5,0.5079030439257621
,,DoS_Hulk,cov_trace,5,0.6221530464491886
,,DoS_Hulk,cov_logdet,5,-22.231390460694936
0.4523245945572853,0.4277403935790062,DoS_Hulk,silhouette_mean,5,0.43966295272111894
,,DDoS,cov_trace,5,1.1569588774258484
,,DDoS,cov_logdet,5,-17.33595998356349
0.4085071422159672,0.3892369866371155,DDoS,silhouette_mean,5,0.39798707365989683
,,DoS_GoldenEye,cov_trace,5,3.719566159307442
,,DoS_GoldenEye,cov_logdet,5,-12.27226508621402
0.26929757222533224,0.24840546660125257,DoS_GoldenEye,silhouette_mean,5,0.2585326246917248
,,DoS_slowloris,cov_trace,5,5.183013455569929
,,DoS_slowloris,cov_logdet,5,-11.59608191148635
0.3512646988034248,0.33552423790097236,DoS_slowloris,silhouette_mean,5,0.3437300458550453
,,FTP_Patator,cov_trace,5,0.004717544949736352
,,FTP_Patator,cov_logdet,5,-52.2660919599629
0.5158693283796311,0.49744278788566587,FTP_Patator,silhouette_mean,5,0.5061756774783135
,,SSH_Patator,cov_trace,5,0.042059726865234265
,,SSH_Patator,cov_logdet,5,-35.818433523035004
0.44578254893422126,0.42750099003314973,SSH_Patator,silhouette_mean,5,0.4356028616428375
,,DoS_Slowhttptest,cov_trace,5,4.224096455239388
,,DoS_Slowhttptest,cov_logdet,5,-8.569511865478567
0.40297157466411593,0.3879044145345688,DoS_Slowhttptest,silhouette_mean,5,0.394021175801754
,,Bot,cov_trace,5,2.8252394788635344
,,Bot,cov_logdet,5,-24.800918392554674
0.3150139547884464,0.29261304140090943,Bot,silhouette_mean,5,0.30400887280702593
,,Web_Attack,cov_trace,5,2.655595596169194
,,Web_Attack,cov_logdet,5,-19.523872673214598
0.2729977540671825,0.24188567623496054,Web_Attack,silhouette_mean,5,0.2559655599296093
,,Infiltration,cov_trace,5,164.95086702514266
,,Infiltration,cov_logdet,5,2.4293521779641036
