auc_pr,auc_pr_ci_high,auc_pr_ci_low,auc_pr_ci_method,auc_roc,auc_roc_ci_high,auc_roc_ci_low,auc_roc_ci_method,fpr_realized_on_test_benign_at_fpr1,fpr_realized_on_test_benign_at_fpr10,fpr_realized_on_test_benign_at_fpr5,group,n_neg,n_pos,pauc_mcclish_fpr0.10,prevalence,score,seed,tpr_at_fpr1,tpr_at_fpr10,tpr_at_fpr5,tpr_at_tau_p95
0.2646502599239128,0.9738279555396281,0.9437327782875112,bootstrap_subsampled_max1500_per_side,0.9823937024465845,0.9836185707121468,0.9811688341810223,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,SSH_Patator,248561,2980,0.9193487946219285,0.011846975244592333,nll_mu,42,0.23691275167785236,0.986241610738255,0.9842281879194631,
0.20117028199451142,0.9579927711281988,0.9218182909838869,bootstrap_subsampled_max1500_per_side,0.9763411120584581,0.9775851281638227,0.9750970959530935,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,SSH_Patator,248561,2980,0.8872906842459872,0.011846975244592333,nll_mc,42,0.07550335570469799,0.9869127516778523,0.9818791946308725,0.9818791946308725
0.1628314811987166,0.9385614354039122,0.8970739976139134,bootstrap_subsampled_max1500_per_side,0.9698332042187854,0.9711897782769267,0.9684766301606441,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,SSH_Patator,248561,2980,0.8548209406448427,0.011846975244592333,neg_elbo,42,0.02181208053691275,0.9865771812080537,0.9530201342281879,
0.028567638765158474,0.6532707633096815,0.6167460696134152,bootstrap_subsampled_max1500_per_side,0.798663933088792,0.8002503584398178,0.7970775077377662,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,SSH_Patator,248561,2980,0.47403274583721133,0.011846975244592333,mse,42,0.0006711409395973154,0.0006711409395973154,0.0006711409395973154,
0.009924690551228159,0.41531411477386937,0.3981598645315607,bootstrap_subsampled_max1500_per_side,0.40953971192411714,0.4116697401982986,0.4074096836499357,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,SSH_Patator,248561,2980,0.47368421052631576,0.011846975244592333,latent_maha,42,0.0,0.0,0.0,
0.43072593495938877,0.991440715772335,0.9805675547856859,bootstrap_subsampled_max1500_per_side,0.9907795712996569,0.9917225878692663,0.9898365547300475,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,DoS_Slowhttptest,248561,1742,0.9553748932787878,0.00695956500721126,nll_mu,42,0.6486796785304249,0.994833524684271,0.9942594718714122,
0.43269722152789536,0.9914397928970815,0.9802325785565769,bootstrap_subsampled_max1500_per_side,0.9908591891667821,0.9918027555790302,0.9899156227545339,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,DoS_Slowhttptest,248561,1742,0.9558290148464981,0.00695956500721126,nll_mc,42,0.6274397244546498,0.994833524684271,0.9942594718714122,0.9942594718714122
0.40713736572111503,0.9899967419839635,0.9784432929557048,bootstrap_subsampled_max1500_per_side,0.9898803298237007,0.9909048199262978,0.9888558397211036,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,DoS_Slowhttptest,248561,1742,0.9513172635880296,0.00695956500721126,neg_elbo,42,0.45407577497129736,0.994833524684271,0.9942594718714122,
0.21208115517477077,0.9332202276040187,0.9030944725620547,bootstrap_subsampled_max1500_per_side,0.9349925380594029,0.9393852525872626,0.9305998235315431,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,DoS_Slowhttptest,248561,1742,0.8140368120360704,0.00695956500721126,mse,42,0.5935706084959816,0.6991963260619977,0.677382319173364,
0.14834637687171034,0.8835950075309725,0.8544089448212819,bootstrap_subsampled_max1500_per_side,0.9079462418978704,0.9114591647420741,0.9044333190536668,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,DoS_Slowhttptest,248561,1742,0.652776062683493,0.00695956500721126,latent_maha,42,0.24971297359357061,0.3869115958668197,0.378300803673938,
